"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
104,0.4875249,0.2,"TC",14.7518012788719
76,0.4875249,0.2,"TC",21.7714268651286
90,0.6275249,0.2,"TC",15.3623435929244
90,0.3475249,0.2,"TC",22.9014212197498
104,0.4875249,0.2,"TC",13.9236555113858
76,0.4875249,0.2,"TC",20.6094677994558
90,0.6275249,0.2,"TC",16.0816121677321
90,0.3475249,0.2,"TC",19.0143915671603
104,0.4875249,0.2,"TC",14.5840786829893
76,0.4875249,0.2,"TC",15.3712719452061
90,0.6275249,0.2,"TC",18.7040646983739
90,0.3475249,0.2,"TC",19.591062622015
104,0.4875249,0.2,"TC",19.1740392158398
76,0.4875249,0.2,"TC",18.3124311286632
90,0.6275249,0.2,"TC",16.226953103529
90,0.3475249,0.2,"TC",20.7876372580082
104,0.4875249,0.2,"TC",17.8118213010506
76,0.4875249,0.2,"TC",19.9990822470226
90,0.6275249,0.2,"TC",18.4034481106844
90,0.3475249,0.2,"TC",16.2162385132912
104,0.4875249,0.2,"TC",14.4839297913153
76,0.4875249,0.2,"TC",15.8805028593191
90,0.6275249,0.2,"TC",15.8276736018923
90,0.3475249,0.2,"TC",15.9248664630992
104,0.4875249,0.2,"TC",20.0057383184195
76,0.4875249,0.2,"TC",16.4159608687881
90,0.6275249,0.2,"TC",16.100827939251
90,0.3475249,0.2,"TC",24.0919606135838
104,0.4875249,0.2,"TC",12.6812654468058
76,0.4875249,0.2,"TC",17.6889748643987
90,0.6275249,0.2,"TC",18.168899474059
90,0.3475249,0.2,"TC",17.9740786786574
104,0.4875249,0.2,"TC",23.102745544386
76,0.4875249,0.2,"TC",17.152617707745
90,0.6275249,0.2,"TC",17.6517428099285
90,0.3475249,0.2,"TC",18.3043561609563
104,0.4875249,0.2,"TC",17.2882732635391
76,0.4875249,0.2,"TC",16.9884341165699
90,0.6275249,0.2,"TC",11.1438653422232
90,0.3475249,0.2,"TC",17.6505076864955
104,0.4875249,0.2,"TC",14.1471864419806
76,0.4875249,0.2,"TC",17.2652591279187
90,0.6275249,0.2,"TC",19.8014776745685
90,0.3475249,0.2,"TC",18.7905921051866
104,0.4875249,0.2,"TC",19.6951616281883
76,0.4875249,0.2,"TC",17.7020452165331
90,0.6275249,0.2,"TC",12.546825965737
90,0.3475249,0.2,"TC",18.4663005633366
104,0.4875249,0.2,"TC",23.4280168367893
76,0.4875249,0.2,"TC",23.4083603527318
90,0.6275249,0.2,"TC",11.7822162823003
90,0.3475249,0.2,"TC",13.3088582316002
104,0.4875249,0.2,"TC",22.3834352085155
76,0.4875249,0.2,"TC",19.9545337326212
90,0.6275249,0.2,"TC",16.5264197118813
90,0.3475249,0.2,"TC",23.2487399035581
104,0.4875249,0.2,"TC",22.1451933854292
76,0.4875249,0.2,"TC",17.8478437924442
90,0.6275249,0.2,"TC",13.4835907122339
90,0.3475249,0.2,"TC",19.4152756133868
104,0.4875249,0.2,"TC",22.4740927864509
76,0.4875249,0.2,"TC",21.6485491107845
90,0.6275249,0.2,"TC",10.8085606542478
90,0.3475249,0.2,"TC",18.4930572509046
104,0.4875249,0.2,"TC",20.4674690367571
76,0.4875249,0.2,"TC",22.6015831775854
90,0.6275249,0.2,"TC",13.7750089450067
90,0.3475249,0.2,"TC",18.9801769142186
104,0.4875249,0.2,"TC",16.5588006362175
76,0.4875249,0.2,"TC",20.44158591995
90,0.6275249,0.2,"TC",14.9562425200314
90,0.3475249,0.2,"TC",15.4854367754122
104,0.4875249,0.2,"TC",18.3167726641652
76,0.4875249,0.2,"TC",21.7621275711193
90,0.6275249,0.2,"TC",18.6632991457881
90,0.3475249,0.2,"TC",17.3780173537498
104,0.4875249,0.2,"TC",14.6939882024306
76,0.4875249,0.2,"TC",16.7607416177703
90,0.6275249,0.2,"TC",14.6859836182743
90,0.3475249,0.2,"TC",16.0893406595924
104,0.4875249,0.2,"TC",16.8394629795834
76,0.4875249,0.2,"TC",20.2151940821982
90,0.6275249,0.2,"TC",15.0553640666565
90,0.3475249,0.2,"TC",16.3525833727257
104,0.4875249,0.2,"TC",15.0385476705124
76,0.4875249,0.2,"TC",17.4533081060076
90,0.6275249,0.2,"TC",11.8039538261864
90,0.3475249,0.2,"TC",16.9766556393254
104,0.4875249,0.2,"TC",16.5840551847592
76,0.4875249,0.2,"TC",22.2313896321005
90,0.6275249,0.2,"TC",12.8302212708602
90,0.3475249,0.2,"TC",19.5417459006038
104,0.4875249,0.2,"TC",15.1121937361848
76,0.4875249,0.2,"TC",14.0849131939669
90,0.6275249,0.2,"TC",12.6362508709707
90,0.3475249,0.2,"TC",17.2318836566473
104,0.4875249,0.2,"TC",21.4638630490846
76,0.4875249,0.2,"TC",12.2041985267209
90,0.6275249,0.2,"TC",14.0832587220842
90,0.3475249,0.2,"TC",24.6398901695213
104,0.4875249,0.2,"TC",21.3121601259577
76,0.4875249,0.2,"TC",18.7136950640433
90,0.6275249,0.2,"TC",12.3490402008038
90,0.3475249,0.2,"TC",12.7119042320738
104,0.4875249,0.2,"TC",15.7377458654011
76,0.4875249,0.2,"TC",14.5479219766372
90,0.6275249,0.2,"TC",9.82360425385025
90,0.3475249,0.2,"TC",19.6710503093397
104,0.4875249,0.2,"TC",20.0539947201232
76,0.4875249,0.2,"TC",19.5677890420748
90,0.6275249,0.2,"TC",19.8507821288941
90,0.3475249,0.2,"TC",17.7402657282447
104,0.4875249,0.2,"TC",19.4708979025179
76,0.4875249,0.2,"TC",17.0293444985275
90,0.6275249,0.2,"TC",10.4589580233245
90,0.3475249,0.2,"TC",20.3495286684282
104,0.4875249,0.2,"TC",15.2359774559289
76,0.4875249,0.2,"TC",16.0926185719974
90,0.6275249,0.2,"TC",15.7476596684542
90,0.3475249,0.2,"TC",20.9520571972669
104,0.4875249,0.2,"TC",17.415528481479
76,0.4875249,0.2,"TC",19.8595436981897
90,0.6275249,0.2,"TC",19.6732853892192
90,0.3475249,0.2,"TC",20.1421161600314
104,0.4875249,0.2,"TC",16.5308678433079
76,0.4875249,0.2,"TC",22.0076170493728
90,0.6275249,0.2,"TC",17.381449949167
90,0.3475249,0.2,"TC",22.0685328484889
104,0.4875249,0.2,"TC",21.2964723044994
76,0.4875249,0.2,"TC",11.6417516062734
90,0.6275249,0.2,"TC",13.8696650008052
90,0.3475249,0.2,"TC",22.3636163024923
104,0.4875249,0.2,"TC",14.421620617923
76,0.4875249,0.2,"TC",18.917418217587
90,0.6275249,0.2,"TC",10.6851362415924
90,0.3475249,0.2,"TC",13.6636026059861
104,0.4875249,0.2,"TC",19.148876656466
76,0.4875249,0.2,"TC",21.5184482302928
90,0.6275249,0.2,"TC",11.239072411633
90,0.3475249,0.2,"TC",22.1872744339444
104,0.4875249,0.2,"TC",19.243270406472
76,0.4875249,0.2,"TC",19.7145392234611
90,0.6275249,0.2,"TC",20.8416649967001
90,0.3475249,0.2,"TC",21.7592896080821
104,0.4875249,0.2,"TC",21.2113708906696
76,0.4875249,0.2,"TC",19.5206009518611
90,0.6275249,0.2,"TC",12.581608582555
90,0.3475249,0.2,"TC",14.460645994353
104,0.4875249,0.2,"TC",16.7562457267685
76,0.4875249,0.2,"TC",18.526249702513
90,0.6275249,0.2,"TC",15.5927925655665
90,0.3475249,0.2,"TC",14.8831612542875
104,0.4875249,0.2,"TC",14.4123454612413
76,0.4875249,0.2,"TC",18.2067754117404
90,0.6275249,0.2,"TC",15.5189514622057
90,0.3475249,0.2,"TC",20.9652040036021
104,0.4875249,0.2,"TC",18.7074446340964
76,0.4875249,0.2,"TC",14.9635836327735
90,0.6275249,0.2,"TC",10.4838116797797
90,0.3475249,0.2,"TC",19.1435583487799
104,0.4875249,0.2,"TC",16.4942685526058
76,0.4875249,0.2,"TC",16.9628230715983
90,0.6275249,0.2,"TC",15.8267886863512
90,0.3475249,0.2,"TC",23.2744453664504
104,0.4875249,0.2,"TC",20.1379064094739
76,0.4875249,0.2,"TC",15.8266768128313
90,0.6275249,0.2,"TC",12.9400288936898
90,0.3475249,0.2,"TC",20.5268221048279
104,0.4875249,0.2,"TC",15.3239972700734
76,0.4875249,0.2,"TC",14.3280395600985
90,0.6275249,0.2,"TC",13.8741614712787
90,0.3475249,0.2,"TC",17.9007657264577
104,0.4875249,0.2,"TC",14.143445039343
76,0.4875249,0.2,"TC",14.8823560160056
90,0.6275249,0.2,"TC",14.0996126117493
90,0.3475249,0.2,"TC",14.2150366937116
104,0.4875249,0.2,"TC",18.712554845624
76,0.4875249,0.2,"TC",22.9069845927714
90,0.6275249,0.2,"TC",17.0251206082558
90,0.3475249,0.2,"TC",21.971549081926
104,0.4875249,0.2,"TC",19.523241807263
76,0.4875249,0.2,"TC",17.1286930643754
90,0.6275249,0.2,"TC",15.0148765595051
90,0.3475249,0.2,"TC",12.4612197224684
104,0.4875249,0.2,"TC",15.495677272755
76,0.4875249,0.2,"TC",15.5879329670041
90,0.6275249,0.2,"TC",15.7601041029963
90,0.3475249,0.2,"TC",16.9319271002511
104,0.4875249,0.2,"TC",15.7241289080967
76,0.4875249,0.2,"TC",18.4977461075152
90,0.6275249,0.2,"TC",16.4089347889594
90,0.3475249,0.2,"TC",13.1303306129482
104,0.4875249,0.2,"TC",20.1321561816712
76,0.4875249,0.2,"TC",17.3904646376931
90,0.6275249,0.2,"TC",16.8715772697977
90,0.3475249,0.2,"TC",22.7400528092311
104,0.4875249,0.2,"TC",24.5103093995624
76,0.4875249,0.2,"TC",17.695568372703
90,0.6275249,0.2,"TC",12.5834491124354
90,0.3475249,0.2,"TC",15.4684760846594
104,0.4875249,0.2,"TC",21.193799158538
76,0.4875249,0.2,"TC",14.4011255398617
90,0.6275249,0.2,"TC",17.2312941935478
90,0.3475249,0.2,"TC",20.9101503298284
104,0.4875249,0.2,"TC",17.0731054793877
76,0.4875249,0.2,"TC",18.3032928086999
90,0.6275249,0.2,"TC",11.3286303774749
90,0.3475249,0.2,"TC",18.8550245961884
104,0.4875249,0.2,"TC",19.2632942260203
76,0.4875249,0.2,"TC",14.8095793163173
90,0.6275249,0.2,"TC",15.6158490974009
90,0.3475249,0.2,"TC",22.3963826650366
104,0.4875249,0.2,"TC",20.845361969458
76,0.4875249,0.2,"TC",13.870067923366
90,0.6275249,0.2,"TC",13.9117708967882
90,0.3475249,0.2,"TC",18.594703366529
104,0.4875249,0.2,"TC",19.5870135696774
76,0.4875249,0.2,"TC",12.0417870505223
90,0.6275249,0.2,"TC",12.9914037658828
90,0.3475249,0.2,"TC",16.3013189615318
104,0.4875249,0.2,"TC",16.3570334982372
76,0.4875249,0.2,"TC",21.2524619922541
90,0.6275249,0.2,"TC",16.2831614709316
90,0.3475249,0.2,"TC",21.489675853052
104,0.4875249,0.2,"TC",21.0984239574258
76,0.4875249,0.2,"TC",19.3035678474493
90,0.6275249,0.2,"TC",17.5886290500334
90,0.3475249,0.2,"TC",19.4994396287847
104,0.4875249,0.2,"TC",19.3385385231503
76,0.4875249,0.2,"TC",19.9313218639965
90,0.6275249,0.2,"TC",19.4902445680084
90,0.3475249,0.2,"TC",25.7060861142895
104,0.4875249,0.2,"TC",17.7041145711391
76,0.4875249,0.2,"TC",14.8071375626036
90,0.6275249,0.2,"TC",21.3206297951927
90,0.3475249,0.2,"TC",19.3724054370514
104,0.4875249,0.2,"TC",17.3442468327206
76,0.4875249,0.2,"TC",12.3882347590153
90,0.6275249,0.2,"TC",12.653844100419
90,0.3475249,0.2,"TC",16.3647594079205
104,0.4875249,0.2,"TC",13.652084021392
76,0.4875249,0.2,"TC",15.8797445960174
90,0.6275249,0.2,"TC",14.1564999656407
90,0.3475249,0.2,"TC",23.9749440068796
104,0.4875249,0.2,"TC",19.8308046372669
76,0.4875249,0.2,"TC",21.4301668814733
90,0.6275249,0.2,"TC",17.2133942230257
90,0.3475249,0.2,"TC",16.2185858305626
104,0.4875249,0.2,"TC",16.862530287576
76,0.4875249,0.2,"TC",16.7877449303744
90,0.6275249,0.2,"TC",13.5940219365695
90,0.3475249,0.2,"TC",22.5833435306922
104,0.4875249,0.2,"TC",16.0118515595219
76,0.4875249,0.2,"TC",16.0362656660448
90,0.6275249,0.2,"TC",14.3491294425588
90,0.3475249,0.2,"TC",16.9488003227317
104,0.4875249,0.2,"TC",19.979220700469
76,0.4875249,0.2,"TC",19.7733881412393
90,0.6275249,0.2,"TC",16.098193730513
90,0.3475249,0.2,"TC",18.7459903696081
104,0.4875249,0.2,"TC",15.6025938705452
76,0.4875249,0.2,"TC",13.6576137099964
90,0.6275249,0.2,"TC",17.0278667816985
90,0.3475249,0.2,"TC",17.9801432602835
104,0.4875249,0.2,"TC",16.9655510121223
76,0.4875249,0.2,"TC",13.5638554640728
90,0.6275249,0.2,"TC",17.7676320383157
90,0.3475249,0.2,"TC",20.5837945697126
104,0.4875249,0.2,"TC",12.6595574972931
76,0.4875249,0.2,"TC",17.0818508322955
90,0.6275249,0.2,"TC",17.8224404535015
90,0.3475249,0.2,"TC",19.0286229438407
104,0.4875249,0.2,"TC",15.7901113614157
76,0.4875249,0.2,"TC",24.1110704684263
90,0.6275249,0.2,"TC",19.6821340899519
90,0.3475249,0.2,"TC",14.6525951946249
104,0.4875249,0.2,"TC",18.969785283291
76,0.4875249,0.2,"TC",14.3224741628762
90,0.6275249,0.2,"TC",15.7348438223823
90,0.3475249,0.2,"TC",14.6969220937406
104,0.4875249,0.2,"TC",13.8204346089955
76,0.4875249,0.2,"TC",18.1257718548979
90,0.6275249,0.2,"TC",16.6635559223909
90,0.3475249,0.2,"TC",21.0334880807858
104,0.4875249,0.2,"TC",17.041700509113
76,0.4875249,0.2,"TC",19.751631131209
90,0.6275249,0.2,"TC",15.1527332498979
90,0.3475249,0.2,"TC",19.9168727880064
104,0.4875249,0.2,"TC",19.5332137880374
76,0.4875249,0.2,"TC",24.1076093902083
90,0.6275249,0.2,"TC",15.8703358973643
90,0.3475249,0.2,"TC",24.5580049915948
104,0.4875249,0.2,"TC",16.1759364808885
76,0.4875249,0.2,"TC",19.6602985684854
90,0.6275249,0.2,"TC",20.0549513180431
90,0.3475249,0.2,"TC",23.4849017237901
104,0.4875249,0.2,"TC",21.1104273934516
76,0.4875249,0.2,"TC",17.861716145703
90,0.6275249,0.2,"TC",16.3308873480223
90,0.3475249,0.2,"TC",16.572459557194
104,0.4875249,0.2,"TC",18.5747430636205
76,0.4875249,0.2,"TC",18.9648462609984
90,0.6275249,0.2,"TC",17.3993285874491
90,0.3475249,0.2,"TC",17.5557061469134
104,0.4875249,0.2,"TC",16.9073716288486
