"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
60,0.4,0.2,"TC",23.7692258741399
70,0.429175,0.2,"TC",20.588899730683
80,0.4583499,0.2,"TC",20.9989366897199
90,0.4875249,0.2,"TC",19.7491370738616
100,0.5166998,0.2,"TC",13.7350905082283
110,0.5458748,0.2,"TC",19.9257566960562
120,0.5750498,0.2,"TC",13.3853574714486
60,0.4,0.2,"TC",16.3962505603702
70,0.429175,0.2,"TC",14.7092993772666
80,0.4583499,0.2,"TC",19.0818872073923
90,0.4875249,0.2,"TC",18.2812880756646
100,0.5166998,0.2,"TC",15.2701382283878
110,0.5458748,0.2,"TC",20.2497774181243
120,0.5750498,0.2,"TC",17.3907214119148
60,0.4,0.2,"TC",13.9105149315961
70,0.429175,0.2,"TC",21.642127479795
80,0.4583499,0.2,"TC",16.71472559051
90,0.4875249,0.2,"TC",14.2502946724501
100,0.5166998,0.2,"TC",22.0175924636392
110,0.5458748,0.2,"TC",14.039576597173
120,0.5750498,0.2,"TC",18.3395655830335
60,0.4,0.2,"TC",21.1683701128079
70,0.429175,0.2,"TC",13.8041379109012
80,0.4583499,0.2,"TC",12.3028440898013
90,0.4875249,0.2,"TC",17.4977241206121
100,0.5166998,0.2,"TC",18.8646676334758
110,0.5458748,0.2,"TC",17.1735203457702
120,0.5750498,0.2,"TC",23.3476984733964
60,0.4,0.2,"TC",20.1546208647703
70,0.429175,0.2,"TC",15.8652390756263
80,0.4583499,0.2,"TC",16.2353416575865
90,0.4875249,0.2,"TC",17.3451466550672
100,0.5166998,0.2,"TC",16.0309088981879
110,0.5458748,0.2,"TC",14.6656514147993
120,0.5750498,0.2,"TC",19.0510250076139
60,0.4,0.2,"TC",17.2790702186562
70,0.429175,0.2,"TC",19.6508723473907
80,0.4583499,0.2,"TC",16.0246427032578
90,0.4875249,0.2,"TC",18.8096459506066
100,0.5166998,0.2,"TC",13.5195390622101
110,0.5458748,0.2,"TC",18.6920595965676
120,0.5750498,0.2,"TC",17.4753415505853
60,0.4,0.2,"TC",20.7731246875126
70,0.429175,0.2,"TC",14.4735549446259
80,0.4583499,0.2,"TC",17.168031525208
90,0.4875249,0.2,"TC",16.2520155874381
100,0.5166998,0.2,"TC",19.0359309960986
110,0.5458748,0.2,"TC",18.7916130570138
120,0.5750498,0.2,"TC",15.146446567549
60,0.4,0.2,"TC",22.0859518812766
70,0.429175,0.2,"TC",17.6384582394397
80,0.4583499,0.2,"TC",19.4029134852207
90,0.4875249,0.2,"TC",14.2783331095343
100,0.5166998,0.2,"TC",17.1992198519411
110,0.5458748,0.2,"TC",21.1200893643373
120,0.5750498,0.2,"TC",18.884981649343
60,0.4,0.2,"TC",22.3699113623826
70,0.429175,0.2,"TC",19.176749705954
80,0.4583499,0.2,"TC",14.296450040635
90,0.4875249,0.2,"TC",17.3240018704138
100,0.5166998,0.2,"TC",19.1474651545718
110,0.5458748,0.2,"TC",16.2019920052213
120,0.5750498,0.2,"TC",17.5140795398747
