"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
80,0.5875249,0.2,"TC",11.995563341794
80,0.3875249,0.2,"TC",21.8533691055057
100,0.5875249,0.2,"TC",15.1671993790521
100,0.3875249,0.2,"TC",18.4756676704537
80,0.5875249,0.2,"TC",17.7852859422274
80,0.3875249,0.2,"TC",16.5227727586119
100,0.5875249,0.2,"TC",16.363284487254
100,0.3875249,0.2,"TC",24.3925895331559
80,0.5875249,0.2,"TC",14.8736769698559
80,0.3875249,0.2,"TC",14.1238436017963
100,0.5875249,0.2,"TC",21.4340136880914
100,0.3875249,0.2,"TC",20.5027026452788
80,0.5875249,0.2,"TC",16.8372221611232
80,0.3875249,0.2,"TC",15.5855212284637
100,0.5875249,0.2,"TC",15.9064124770788
100,0.3875249,0.2,"TC",23.1174593478072
80,0.5875249,0.2,"TC",19.0542778829031
80,0.3875249,0.2,"TC",17.2136567105129
100,0.5875249,0.2,"TC",12.6948386852121
100,0.3875249,0.2,"TC",18.3860303968608
80,0.5875249,0.2,"TC",18.2407181157431
80,0.3875249,0.2,"TC",21.3985399101792
100,0.5875249,0.2,"TC",13.5570243432332
100,0.3875249,0.2,"TC",22.6495726821885
80,0.5875249,0.2,"TC",16.1970421071816
80,0.3875249,0.2,"TC",16.9725005789432
100,0.5875249,0.2,"TC",17.7405751363016
100,0.3875249,0.2,"TC",21.119102756736
80,0.5875249,0.2,"TC",14.0010200953888
80,0.3875249,0.2,"TC",21.5570174191531
100,0.5875249,0.2,"TC",18.7387211834506
100,0.3875249,0.2,"TC",19.4941280416788
80,0.5875249,0.2,"TC",11.6795668884224
80,0.3875249,0.2,"TC",18.471036150843
100,0.5875249,0.2,"TC",16.4530975062643
100,0.3875249,0.2,"TC",15.0043680243805
80,0.5875249,0.2,"TC",18.1117235614002
80,0.3875249,0.2,"TC",19.7627309777038
100,0.5875249,0.2,"TC",19.2942942498358
100,0.3875249,0.2,"TC",19.3558157160271
80,0.5875249,0.2,"TC",18.0129118978958
80,0.3875249,0.2,"TC",19.668913983856
100,0.5875249,0.2,"TC",18.4756085487378
100,0.3875249,0.2,"TC",19.0594836173844
80,0.5875249,0.2,"TC",13.9064599870005
80,0.3875249,0.2,"TC",18.4188288824713
100,0.5875249,0.2,"TC",14.872812280341
100,0.3875249,0.2,"TC",19.0568320202095
80,0.5875249,0.2,"TC",19.2068768105223
80,0.3875249,0.2,"TC",22.7081767771271
100,0.5875249,0.2,"TC",15.6763953661039
100,0.3875249,0.2,"TC",19.2638264867979
80,0.5875249,0.2,"TC",15.6757500098036
80,0.3875249,0.2,"TC",16.8440772550596
100,0.5875249,0.2,"TC",15.2084606208213
100,0.3875249,0.2,"TC",19.8311071364819
80,0.5875249,0.2,"TC",15.8825325027337
80,0.3875249,0.2,"TC",19.1048189340937
100,0.5875249,0.2,"TC",13.2843481532302
100,0.3875249,0.2,"TC",20.399809315022
80,0.5875249,0.2,"TC",13.3527878725868
80,0.3875249,0.2,"TC",13.1412214528525
100,0.5875249,0.2,"TC",22.2978988152231
100,0.3875249,0.2,"TC",12.5132418095099
80,0.5875249,0.2,"TC",16.7382898947521
80,0.3875249,0.2,"TC",20.9604299070381
100,0.5875249,0.2,"TC",12.1289543902436
100,0.3875249,0.2,"TC",22.6155874607606
80,0.5875249,0.2,"TC",18.2130122438012
80,0.3875249,0.2,"TC",17.5096783040835
100,0.5875249,0.2,"TC",16.5275106457475
